000001,ST204,100001,01/11/2024,02/11/2024,2,400000
000002,VIP506,100002,03/11/2024,04/11/2024,4,900000
000003,ST109,100003,05/11/2024,06/11/2024,2,400000
000004,VIP409,100004,07/11/2024,08/11/2024,2,500000
000005,ST302,100005,09/11/2024,10/11/2024,3,600000
000006,VIP508,100006,11/11/2024,12/11/2024,4,900000
000007,ST107,100007,13/11/2024,14/11/2024,1,200000
000008,VIP403,100008,12/11/2024,16/11/2024,1,1200000
000009,ST205,100009,17/11/2024,18/11/2024,2,400000
000010,VIP501,100010,19/11/2024,20/11/2024,3,700000
000011,ST203,100011,21/11/2024,22/11/2024,1,200000
000012,VIP405,100012,23/11/2024,24/11/2024,2,500000
000013,ST106,100013,25/11/2024,26/11/2024,4,700000
000014,VIP410,100014,25/11/2024,28/11/2024,3,2100000
000015,ST308,100015,29/11/2024,30/11/2024,2,400000
000016,VIP502,100016,01/12/2024,03/12/2024,3,1400000
000017,ST201,100017,03/12/2024,05/12/2024,4,1400000
000018,VIP407,100018,05/12/2024,06/12/2024,2,500000
000019,ST105,100019,06/12/2024,10/12/2024,4,2100000
000020,VIP504,100020,09/12/2024,10/12/2024,4,900000
000021,ST303,100021,11/12/2024,14/12/2024,4,2100000
000022,VIP401,100022,13/12/2024,14/12/2024,1,300000
000023,ST208,100023,15/12/2024,16/12/2024,4,700000
000024,VIP506,100024,15/12/2024,16/12/2024,4,900000
000025,ST102,100025,18/12/2024,20/12/2024,2,800000
000026,VIP509,100026,20/12/2024,22/12/2024,2,1000000
000027,ST307,100027,23/12/2024,24/12/2024,2,400000
000028,VIP404,100028,23/12/2024,24/12/2024,2,500000
000029,ST110,100029,27/12/2024,28/12/2024,3,600000
000030,VIP503,100030,27/12/2024,30/12/2024,4,2700000
